subject,rt,question,item,modality
0,581.1836264144082,0,0,word
0,552.3588692853334,0,1,word
0,448.48598689400137,0,2,word
0,445.12300510648777,0,3,word
0,418.6543144909519,0,4,word
0,362.45171172980724,0,5,word
0,376.394703711988,0,6,word
0,436.7642830478438,0,7,word
0,456.1440974473793,0,8,word
0,471.4324798583795,0,9,word
0,383.23867416070755,0,10,word
0,398.39631708733435,0,11,word
0,376.1369446396362,0,12,word
0,320.59988401580046,0,13,word
0,421.78895515491695,0,14,word
0,323.44700712239285,0,15,word
0,506.8386117998137,0,16,word
0,357.5697221375491,0,17,word
0,463.2831279189498,0,18,word
0,409.50051866045516,0,19,word
0,418.510984580736,1,0,word
0,406.5230663106165,1,1,word
0,312.45577246725094,1,2,word
0,238.02571271612481,1,3,word
0,292.44456134491276,1,4,word
0,297.0940839682358,1,5,word
0,325.187774670663,1,6,word
0,345.2100284630816,1,7,word
0,285.0991448882661,1,8,word
0,384.9345566702849,1,9,word
0,292.2454887485523,1,10,word
0,309.88684071208337,1,11,word
0,228.62909056768453,1,12,word
0,151.8237802981181,1,13,word
0,380.4598623708534,1,14,word
0,193.6550695753609,1,15,word
0,308.20240802658884,1,16,word
0,369.27822310100544,1,17,word
0,385.31200054769477,1,18,word
0,403.59378708317746,1,19,word
0,713.1867706802556,2,0,word
0,608.0279782791364,2,1,word
0,548.3132848818033,2,2,word
0,444.3288496997087,2,3,word
0,632.1628859038949,2,4,word
0,442.0211482474334,2,5,word
0,461.6242373284967,2,6,word
0,594.3510232133469,2,7,word
0,552.575785479671,2,8,word
0,691.7504331852897,2,9,word
0,366.11211571469494,2,10,word
0,500.47239726292037,2,11,word
0,467.43301634070224,2,12,word
0,497.17539596239635,2,13,word
0,538.8392735401992,2,14,word
0,402.3861975543727,2,15,word
0,606.9211822152445,2,16,word
0,653.3676590795885,2,17,word
0,612.7322166319332,2,18,word
0,571.7881919351576,2,19,word
0,588.7441372745645,3,0,word
0,407.7153236293534,3,1,word
0,418.38195196250865,3,2,word
0,232.93153454422713,3,3,word
0,405.3548187366776,3,4,word
0,297.1679212711206,3,5,word
0,374.92271107989563,3,6,word
0,331.41045530603805,3,7,word
0,332.52148110215927,3,8,word
0,458.7752259438325,3,9,word
0,246.29947838111065,3,10,word
0,251.7133672765187,3,11,word
0,309.919627676337,3,12,word
0,248.57173085909315,3,13,word
0,302.35764896867056,3,14,word
0,243.1402283995528,3,15,word
0,450.0333503942746,3,16,word
0,260.07584737977885,3,17,word
0,344.2497005835838,3,18,word
0,443.81479854563753,3,19,word
0,701.5822641599727,4,0,word
0,568.4305567831536,4,1,word
0,411.5948136082762,4,2,word
0,383.165121885315,4,3,word
0,570.5248868323864,4,4,word
0,387.0567794481478,4,5,word
0,467.7187252602355,4,6,word
0,536.6461307564138,4,7,word
0,514.4442693106718,4,8,word
0,574.7456024049912,4,9,word
0,496.97338751343483,4,10,word
0,462.9672336946561,4,11,word
0,429.75352788529295,4,12,word
0,349.5351738308391,4,13,word
0,500.47910143142616,4,14,word
0,383.67385103620524,4,15,word
0,602.8098424544214,4,16,word
0,410.2982911115504,4,17,word
0,479.5799093239243,4,18,word
0,486.87883460750527,4,19,word
0,482.47231459247405,5,0,word
0,398.8655712695353,5,1,word
0,269.43321695045506,5,2,word
0,213.832456115308,5,3,word
0,225.51391704047575,5,4,word
0,193.21522547006134,5,5,word
0,252.1506356552781,5,6,word
0,379.572508398349,5,7,word
0,318.9073197750025,5,8,word
0,413.63885997832773,5,9,word
0,232.802062554112,5,10,word
0,275.53866896627943,5,11,word
0,247.52647276170347,5,12,word
0,237.33363254587906,5,13,word
0,337.6882652860757,5,14,word
0,234.79012524753026,5,15,word
0,367.60663828320565,5,16,word
0,353.8970314102886,5,17,word
0,348.11978630344146,5,18,word
0,366.5581619778439,5,19,word
0,608.8910486463897,6,0,word
0,548.4273012792071,6,1,word
0,476.5541887764363,6,2,word
0,407.8494643466183,6,3,word
0,385.5563474931107,6,4,word
0,238.45633813005853,6,5,word
0,374.32733702188756,6,6,word
0,542.9204044820931,6,7,word
0,397.85187378833314,6,8,word
0,468.73870804491196,6,9,word
0,261.44480267623373,6,10,word
0,310.54130712872995,6,11,word
0,386.34733015519254,6,12,word
0,364.01178006079766,6,13,word
0,377.43230085068257,6,14,word
0,375.732169496649,6,15,word
0,512.3402088408712,6,16,word
0,432.3773680873967,6,17,word
0,416.9608534533403,6,18,word
0,506.53608503902603,6,19,word
0,589.7674009802172,7,0,word
0,575.2371010162751,7,1,word
0,462.31941029849304,7,2,word
0,428.01486227340496,7,3,word
0,461.2749262347944,7,4,word
0,372.5849982311606,7,5,word
0,431.3955081629848,7,6,word
0,426.9057590507851,7,7,word
0,534.548414731588,7,8,word
0,537.6478635730209,7,9,word
0,327.245805106139,7,10,word
0,394.35138992028084,7,11,word
0,337.5608182424439,7,12,word
0,311.5639930923131,7,13,word
0,532.6656774553677,7,14,word
0,375.67924720000906,7,15,word
0,543.3512850354464,7,16,word
0,515.1107220667956,7,17,word
0,507.34144207980745,7,18,word
0,491.660507362714,7,19,word
0,661.8850293332288,8,0,word
0,529.8662040408173,8,1,word
0,460.25152864635595,8,2,word
0,463.1268665517171,8,3,word
0,492.20269741785785,8,4,word
0,424.9215419182672,8,5,word
0,520.8478510392164,8,6,word
0,524.3580947952402,8,7,word
0,483.1025298701471,8,8,word
0,522.6855277120156,8,9,word
0,393.7161088575236,8,10,word
0,506.1505519715854,8,11,word
0,319.8979986445135,8,12,word
0,459.397302475726,8,13,word
0,500.0324680818812,8,14,word
0,347.432347690452,8,15,word
0,593.3907227054744,8,16,word
0,567.9616005771588,8,17,word
0,568.1052541207451,8,18,word
0,609.5596494728782,8,19,word
0,515.2033988845752,9,0,word
0,517.0286779006094,9,1,word
0,458.20807562807624,9,2,word
0,353.33330047189736,9,3,word
0,453.9487715184048,9,4,word
0,281.5136721534938,9,5,word
0,381.7925483052163,9,6,word
0,404.30111702194944,9,7,word
