subject,rt,question,item,modality
0,372.21967593991525,0,0,image
0,341.27013996715783,0,1,image
0,309.8160597360471,0,2,image
0,435.82501917386946,0,3,image
0,298.91507398331174,0,4,image
0,282.03616200012016,0,5,image
0,309.34949079986905,0,6,image
0,303.31845268424837,0,7,image
0,341.82059546280317,0,8,image
0,385.4575081993095,0,9,image
0,419.13810547871014,0,10,image
0,385.724947541677,0,11,image
0,342.8656894125345,0,12,image
0,385.6931040177841,0,13,image
0,418.69237624770705,0,14,image
0,437.97775601852095,1,0,image
0,309.49746893932553,1,1,image
0,330.4245846732858,1,2,image
0,331.3683261442452,1,3,image
0,317.33234606697795,1,4,image
0,410.0510283556886,1,5,image
0,148.74322480398195,1,6,image
0,328.6292241239953,1,7,image
0,292.65510428063885,1,8,image
0,277.11701282626575,1,9,image
0,365.8928767158113,1,10,image
0,238.12472312054712,1,11,image
0,252.31087600262228,1,12,image
0,293.7086401686856,1,13,image
0,284.8446900532837,1,14,image
0,432.88997548123785,2,0,image
0,431.6075839488876,2,1,image
0,443.7671897951517,2,2,image
0,377.81673344031276,2,3,image
0,351.1104501642214,2,4,image
0,343.3678522023679,2,5,image
0,254.0067194055955,2,6,image
0,348.41821379954405,2,7,image
0,419.41802380175767,2,8,image
0,430.6998453615513,2,9,image
0,425.7621320581451,2,10,image
0,363.44224000667,2,11,image
0,379.42258768590085,2,12,image
0,414.34296344222554,2,13,image
0,519.3642566140887,2,14,image
1,435.9764162345537,0,0,image
1,436.4398419980575,0,1,image
1,465.72956977488735,0,2,image
1,340.5980313924545,0,3,image
1,345.7598532442614,0,4,image
1,410.46109775716764,0,5,image
1,198.4613071309509,0,6,image
1,296.216195047622,0,7,image
1,378.17629245605104,0,8,image
1,482.9296865638519,0,9,image
1,367.65848021077915,0,10,image
1,300.92577049892674,0,11,image
1,326.5022095507643,0,12,image
1,252.07006823178187,0,13,image
1,431.2212130111395,0,14,image
1,333.45357414092257,1,0,image
1,293.3055655546101,1,1,image
1,335.267219844726,1,2,image
1,312.0742542406667,1,3,image
1,298.81207142919675,1,4,image
1,334.52834609369984,1,5,image
1,261.60446027353595,1,6,image
1,241.29618410713312,1,7,image
1,342.75865971689643,1,8,image
1,255.77684215072918,1,9,image
1,316.5090974225397,1,10,image
1,298.61932515178194,1,11,image
1,325.3624614603336,1,12,image
1,333.9805192731392,1,13,image
1,287.7570745387349,1,14,image
1,525.7347105147746,2,0,image
1,401.1633945424877,2,1,image
1,314.2109174312837,2,2,image
1,458.91898100733476,2,3,image
1,426.9846743940456,2,4,image
1,466.5910195697429,2,5,image
1,295.71448789118506,2,6,image
1,357.40791710953994,2,7,image
1,442.3333090471595,2,8,image
1,381.75596419556257,2,9,image
1,412.37222533251656,2,10,image
1,394.95729679608314,2,11,image
1,383.40412972029793,2,12,image
1,392.5267110830573,2,13,image
1,525.7816015925432,2,14,image
2,407.8319963972281,0,0,image
2,477.2748617066106,0,1,image
2,372.07416642618296,0,2,image
2,312.9546768630629,0,3,image
2,446.6658629834802,0,4,image
2,356.2830951673697,0,5,image
2,235.08010746405802,0,6,image
2,334.9658647064172,0,7,image
2,310.77692959782115,0,8,image
2,287.9411178789423,0,9,image
2,347.75475298365,0,10,image
2,300.6985504515765,0,11,image
2,373.1427735490191,0,12,image
2,419.17939088293167,0,13,image
2,300.7711630647625,0,14,image
2,337.51445266993363,1,0,image
2,348.1431298620064,1,1,image
2,321.5567122264864,1,2,image
2,228.64288865982974,1,3,image
2,340.7824975877421,1,4,image
2,237.48739900070717,1,5,image
2,289.8173130189647,1,6,image
2,361.04173046158826,1,7,image
2,208.87018152276187,1,8,image
2,281.46932112148846,1,9,image
2,302.3363035251998,1,10,image
2,360.86823106061865,1,11,image
2,334.32013245900026,1,12,image
2,336.76812846481374,1,13,image
2,268.99443281231294,1,14,image
2,443.9796265973202,2,0,image
2,491.4976815288931,2,1,image
2,393.2263409370806,2,2,image
2,387.71402405006455,2,3,image
2,447.6405900459723,2,4,image
2,441.2275684572594,2,5,image
2,287.565970230077,2,6,image
2,441.3058157144913,2,7,image
2,452.1488190221087,2,8,image
2,382.6450188397928,2,9,image
2,444.08962795115366,2,10,image
2,450.3789115100628,2,11,image
2,323.33711005304076,2,12,image
2,283.946115450706,2,13,image
2,398.0121257992245,2,14,image
3,222.62044736131008,0,0,image
3,274.9110415375871,0,1,image
3,328.7464133207753,0,2,image
3,395.4001107200471,0,3,image
3,238.52607142611885,0,4,image
3,380.3664872611797,0,5,image
3,257.92976538638777,0,6,image
3,328.8205814910749,0,7,image
3,220.5991576126695,0,8,image
3,355.6858812258582,0,9,image
3,396.9759565559668,0,10,image
3,313.0311550934741,0,11,image
3,296.8212724624161,0,12,image
3,289.80060583701663,0,13,image
3,368.0340748727196,0,14,image
3,276.60229951559234,1,0,image
3,247.9446751237212,1,1,image
3,317.60046254184283,1,2,image
3,241.73669846024333,1,3,image
3,170.4737137682057,1,4,image
3,203.6683104788293,1,5,image
3,151.22122834454333,1,6,image
3,219.60695805955686,1,7,image
3,186.35354593573283,1,8,image
3,249.42789677874794,1,9,image
3,235.76956561657028,1,10,image
3,303.70785741845134,1,11,image
3,196.6731625187601,1,12,image
